Date,Open,High,Low,Close,Adj Close,Daily % Return,Deviation from mean,Event,,
9/17/1985,182.88,182.88,180.78,181.36,181.36,-0.83%,-0.9%,,,
9/18/1985,181.36,181.83,180.81,181.71,181.71,0.19%,0.2%,,,
9/19/1985,181.71,183.40,181.71,183.39,183.39,0.92%,0.9%,,,
9/20/1985,183.39,183.99,182.04,182.05,182.05,-0.73%,-0.8%,,,
9/23/1985,182.05,184.65,182.05,184.30,184.30,1.24%,1.2%,,,
9/24/1985,184.30,184.30,182.42,182.62,182.62,-0.91%,-0.9%,,,
9/25/1985,182.62,182.62,180.62,180.66,180.66,-1.07%,-1.1%,,,
9/26/1985,180.66,181.29,179.45,181.29,181.29,0.35%,0.3%,,,
9/30/1985,181.30,182.08,181.22,182.08,182.08,0.44%,0.4%,,,
10/1/1985,182.06,185.08,182.02,185.07,185.07,1.64%,1.6%,,,
10/2/1985,185.07,185.94,184.06,184.06,184.06,-0.55%,-0.6%,,,
10/3/1985,184.06,185.17,183.59,184.36,184.36,0.16%,0.1%,,,
10/4/1985,184.36,184.36,182.65,183.22,183.22,-0.62%,-0.7%,,,
10/7/1985,183.22,183.22,181.30,181.87,181.87,-0.74%,-0.8%,,,
10/8/1985,181.87,182.30,181.16,181.87,181.87,0.00%,0.0%,,,
10/9/1985,181.87,183.27,181.87,182.52,182.52,0.36%,0.3%,,,
10/10/1985,182.52,182.79,182.05,182.78,182.78,0.14%,0.1%,,,
10/11/1985,182.78,184.28,182.61,184.28,184.28,0.82%,0.8%,,,
10/14/1985,184.31,186.37,184.28,186.37,186.37,1.13%,1.1%,,,
10/15/1985,186.37,187.16,185.66,186.08,186.08,-0.16%,-0.2%,,,
10/16/1985,186.08,187.98,186.08,187.98,187.98,1.02%,1.0%,,,
10/17/1985,187.98,188.52,187.42,187.66,187.66,-0.17%,-0.2%,,,
10/18/1985,187.66,188.11,186.89,187.04,187.04,-0.33%,-0.4%,,,
10/21/1985,187.04,187.30,186.79,186.96,186.96,-0.04%,-0.1%,,,
